15min,30min,60min,90min,3hr,6hr,9hr,24hr
AT4G16610,0.255922,-0.542779,-1.33023,-0.475283,0.075933,-0.542779,2.010813,0.548404
AT4G29010,-0.508768,-0.17358,-1.801636,-0.508768,0.424971,0.456893,0.512758,1.598129
AT2G34420,-0.199943,-0.656957,-0.656957,-1.088581,-0.174554,-0.250723,1.171097,1.856618
AT2G43080,0.091584,0.189274,-0.738779,-0.079373,-0.360231,-1.691254,1.117326,1.471452
AT3G12120,0.516316,-0.342602,-1.539296,0.207491,0.168888,-1.008504,0.236444,1.761263
AT3G04720,0.744305,0.584411,-0.988942,-0.4517,-1.551768,-0.106329,0.200667,1.569356
AB000623,0.572548,-0.532206,-0.786672,-0.308773,0.609787,-1.506625,0.224985,1.726955
AT1G55020,0.148279,-0.183866,-1.408061,-0.65836,0.395016,-0.183866,-0.183866,2.074725
T04323,-0.519538,0.974896,-0.849404,-0.714589,-0.958403,0.082825,0.082825,1.901388
AT1G76100,1.052556,-0.516546,-0.001497,-0.241055,0.357839,-1.45082,-0.82797,1.627494
AT3G15730,0.794874,-0.999824,-1.531587,-0.667473,0.794874,-0.312964,0.972128,0.949971
AT3G12500,-0.528318,-0.503887,-0.503887,-0.503887,0.888674,-0.503887,-0.503887,2.15908
AT5G38430,-0.739735,0.479527,-0.234188,-1.156069,0.078063,-0.591045,0.048324,2.115123
AT1G33960,1.663799,-1.583422,-0.313469,-0.297394,0.040188,-0.715353,0.988634,0.217017
AT1G32060,0.771894,-0.985862,-0.488905,-1.234341,-0.479702,1.728997,0.670662,0.017255
AT5G65110,1.580192,-1.061418,-1.39878,-0.335771,0.822718,0.478991,-0.488539,0.402607
AT1G28670,0.646118,0.030052,-2.283953,-0.45078,0.7513,0.383163,0.353111,0.570988
AT4G39260,0.241126,-0.870734,-0.629608,1.366383,0.36169,-0.267918,-1.460154,1.259215
AT2G24180,0.39189,0.442456,-1.796914,-0.207684,1.547694,0.261862,-0.915613,0.276309
AT2G26740,-0.810595,-0.232496,-0.967687,-0.025135,0.42729,1.753147,-1.093361,0.948836
AT5G35630,0.084555,-0.648258,-1.512603,-0.291247,1.506339,0.516728,-0.723419,1.067904
AT3G15350,0.038589,-0.873821,-1.566703,0.292417,1.143085,0.422761,-0.743477,1.287149
AT2G35790,0.281683,0.281683,-2.441249,0.281683,0.751154,0.281683,0.281683,0.281683
AT3G06860,-0.082358,-1.202433,-1.448011,-0.148245,1.271315,0.76818,-0.238091,1.079644
Y11607,0.430612,-1.346854,-1.228356,0.769177,1.065422,0.371363,-0.932112,0.870747
AT2G34660,-0.429996,0.30714,-2.157657,0.176605,1.351415,0.30714,0.30714,0.138213
AT2G33150,0.742458,-0.706559,-1.37885,-0.634761,1.506129,0.252925,-0.693504,0.912162
AT2G23430,0.775361,-1.643195,-1.206907,-0.52402,0.452886,0.737422,0.367526,1.040928
AT2G39780,0.650753,0.035632,-1.24712,0.155656,1.318384,0.68826,-1.667203,0.065638
AT4G25100,0.515736,0.005467,-0.351721,-0.082007,0.93124,-0.256957,1.25927,-2.021029
AB003040,0.30722,-1.117956,-1.338455,-0.036974,1.689371,0.764351,-0.574776,0.30722
AT1G78380,-0.039543,-1.312627,-1.135167,-0.348169,1.781354,0.80918,0.184211,0.060761
AT1G37130,0.049563,-1.078585,-1.272116,-0.309179,1.574214,1.239074,-0.309179,0.106206
Z56278,-0.094915,-0.953277,-1.663076,0.945023,1.324683,0.259985,-0.449815,0.631391
AT1G07890,-0.3956,-1.465913,-0.247971,0.342546,0.988425,0.886929,1.1176,-1.226016
X66017,1.256166,-2.023993,-0.334773,0.285632,1.047317,0.027642,-0.107496,-0.150494
AT4G39330,0.171843,-1.842681,-0.721739,0.610702,1.440834,0.288167,0.536678,-0.483803
AT5G13930,-0.490089,-1.536079,-0.563799,0.745444,1.510631,-0.160145,0.987636,-0.493599
AT3G20230,0.276866,-0.796696,-1.870257,0.69499,1.271323,0.333369,0.581983,-0.491578
AT4G39980,1.401655,-1.851333,-0.224839,-0.377921,0.865869,-0.358785,0.712787,-0.167433
AT1G31580,1.047539,-1.867351,0.220719,-0.115615,-0.269767,1.285775,0.388886,-0.690184
AT4G37980,0.344856,-1.63951,-0.437331,0.622282,1.797489,-0.279353,0.12908,-0.537513
AT2G34770,-0.067559,-1.337413,-0.907132,0.598851,1.265262,-0.707733,1.370209,-0.214485
AJ000470,-0.375196,-0.79921,-1.016796,0.316616,1.984775,-0.03487,0.718313,-0.793631
L15389,-0.534296,-1.421849,-0.445169,0.234422,0.984571,1.441345,0.694909,-0.953934
AF062901,-0.480616,-0.480616,-0.480616,-0.480616,0.588562,-0.480616,2.295135,-0.480616
AT4G00860,0.69351,-1.457786,-0.459338,0.827323,1.341987,0.322952,-0.006433,-1.262214
AT3G57260,0.662146,-0.472652,-0.43367,0.887373,0.727115,0.27233,0.484563,-2.127205
AT4G20360,0.59139,-1.9713,-0.056323,-0.19713,1.36583,0,0.774439,-0.506906
AT3G16480,-0.512602,-1.236275,-0.743025,-0.012151,2.07246,0.481099,0.229073,-0.278578
AT3G16520,-0.897993,-0.897993,-0.979141,0.137831,1.5603,1.302537,0.242846,-0.468388
AT2G42010,0.734149,-1.665877,-0.740757,0.51212,1.521822,-0.635029,-0.106389,0.37996
AT2G02990,-1.367735,-1.367735,-0.814561,0.635137,0.570759,0.732896,0.929607,0.681632
AT1G76490,0.577917,-1.100361,-0.382252,0.731221,1.901174,-0.600105,-0.27736,-0.850233
X99793,-0.702295,-0.984758,-0.481621,1.010135,1.835456,0.418729,-0.283014,-0.812632
AT4G38530,-0.4962,-0.4962,0.75007,-0.4962,2.22713,-0.4962,-0.4962,-0.4962
AT1G67980,-0.353553,-0.353553,-0.353553,-0.353553,2.474874,-0.353553,-0.353553,-0.353553
AT5G39190,-0.203441,-0.203441,-1.122692,-0.203441,2.343338,-0.203441,-0.203441,-0.203441
AT3G02520,0.656585,-0.868677,-0.444492,0.819038,1.712535,-1.094308,-0.895753,0.115072
AT3G59700,-0.337408,-0.337408,-0.448554,-0.337408,2.473001,-0.337408,-0.337408,-0.337408
AT4G09320,-0.106595,-0.423333,-0.325875,0.632462,2.013117,-1.032446,-1.048689,0.291359
AT3G44300,-0.020734,-0.625355,-0.967796,0.252149,2.263987,-0.641407,0.006019,-0.266863
AT5G24090,-0.463797,-0.463797,-0.299802,0.21268,2.406106,-0.463797,-0.463797,-0.463797
AT3G25230,-0.718074,-1.139013,-0.734581,1.180282,1.518684,0.024761,-0.751088,0.619029
AT1G08830,-0.135556,-0.258323,0.846585,1.000044,-0.595934,-1.046082,1.460423,-1.271156
AT1G51680,-0.796776,-1.062764,0.518914,1.625614,0.908396,0.352671,-0.473791,-1.072264
AT1G05010,-0.223398,0.467268,-0.052512,1.385782,1.072491,-0.173557,-1.768497,-0.707577
AT4G16760,-0.715372,-0.107503,1.135253,1.612543,0.621941,-0.751394,-1.00805,-0.787416
AT5G42650,0.129561,0.440507,1.705737,0.672823,-0.2207,-0.177811,-1.493078,-1.057039
AT5G05730,0.316864,-0.313907,1.479848,0.876673,0.632249,-0.4716,-1.110256,-1.409872
AT1G25220,-0.056651,0.014333,1.150091,1.068185,1.040884,-1.072281,-1.077741,-1.06682
AT3G29200,-0.042126,-0.326475,1.621842,1.084739,0.447586,-1.342759,-0.579229,-0.863578
AT4G31500,-0.039901,0.364431,1.160327,0.875167,0.973058,-0.857078,-1.180544,-1.295459
AT3G13920,-0.375187,-0.548351,0.554764,1.01012,1.305139,0.19561,-0.298226,-1.843869
AT3G11170,-0.671465,-0.565094,0.542128,1.789566,0.943435,-0.584434,-1.198483,-0.255652
Z26426,-0.867245,0.407182,0.565824,1.575847,0.380742,0.375453,-1.115784,-1.322019
AT2G29450,-0.955807,0.549314,1.497797,1.116939,-0.098877,0.025635,-1.113277,-1.021724
AF087932,-1.020603,-1.020603,1.159744,0.869987,-0.076742,1.354827,-0.92593,-0.340679
AT5G02500,-0.510923,-0.833197,0.149347,1.839321,1.037566,-0.620967,-1.084728,0.023581
AT1G51760,-0.454598,0.449591,1.516876,1.036168,0.375195,-0.589082,-1.215718,-1.118432
AT3G45140,-1.216172,-0.51239,1.641932,0.497616,0.062454,1.007992,-1.055,-0.426432
AT1G76680,-0.933302,0.783465,0.847802,1.298157,0.424536,-0.002116,-1.1534,-1.265142
AT2G37040,-0.9078935,-0.2856735,0.449161,1.652955,0.144608,0.181902,0.260518,-1.4955765
AT3G53260,-0.882039,-0.029078,0.774538,1.853075,-0.20531,-0.363918,0.249368,-1.396636
AT1G56190,-0.869799,-1.190376,0.619938,0.469079,0.959372,1.48738,-0.71894,-0.756655
Y14590,-0.911708,0.376159,1.447257,1.460008,-0.835201,-0.070131,-0.624807,-0.841577
AT3G30775,-0.808158,-0.808158,1.204061,1.696679,0.210476,0.121415,-0.808158,-0.808158
AT5G42180,-0.386287,-0.386287,2.466297,-0.386287,-0.148572,-0.386287,-0.386287,-0.386287
AT4G13940,-0.843943,-0.860627,0.129303,1.808846,1.180407,-0.688223,-0.615925,-0.109838
AT3G54640,-0.624279,-0.839673,0.543962,1.303319,1.398239,0.073015,-0.587771,-1.266812
AT5G54810,-0.382825,-0.37371,0.82034,1.321658,1.326216,-0.742863,-0.834012,-1.134803
AT3G50970,-1.39223,-1.39223,1.312674,0.928837,0.405572,-0.376866,0.479386,0.034857
AT3G18780,0.603922,-1.074652,0.224418,1.202369,0.501747,-0.242663,0.603922,-1.819063
AT1G16060,-0.668891,-1.458683,0.252533,1.540238,0.962201,-0.056516,0.384165,-0.955047
AT5G54160,-0.517449,-1.306587,0.370895,1.417066,1.11043,-0.657239,0.542251,-0.959366
X16432,0.147925,-0.521472,0.315274,1.044439,1.498673,-1.537522,0.004483,-0.951799
AT1G64280,0.067054,0.067054,-0.258056,1.643839,0.961108,-1.428454,0.067054,-1.119599
AT5G66570,-0.743496,-0.710934,0.336473,1.297048,1.67151,-0.678372,-0.906306,-0.265922
AT4G01850,-0.291135,-0.376763,0.085628,1.37861,1.541303,-1.233043,-0.976159,-0.128442
AT1G01470,0.256193,0.846294,1.167688,1.062313,0.000659,-1.221693,-1.008308,-1.103146
AT2G20340,1.683478,-0.901677,0.251914,-0.178946,-0.248439,-1.012867,1.224821,-0.818285
AT3G47290,0.652421,0.652421,-0.285434,-0.693197,0.489316,0.652421,0.652421,-2.120368
AT2G14610,1.948902,-0.489282,-0.890423,-0.363926,-0.514353,-0.49555,1.177959,-0.373327
AT1G75040,1.207677,-0.042405,-0.395588,0.492016,0.510605,-0.367705,0.668608,-2.073207
AT5G20620,1.941213,-0.407248,-0.88237,0.475122,-0.095024,-0.556572,0.665171,-1.140293
AT2G26330,1.726621,0.498802,-1.394086,-0.004263,0.243006,-1.16387,0.498802,-0.40501
AT2G25080,1.685086,0.453309,-0.602499,-0.755515,-0.380627,-1.489991,0.721087,0.36915
AT4G14980,1.955036,0.609526,-1.039482,-0.695517,0.407194,-0.83715,-0.584235,0.184628
AT1G67750,1.960354,0.375112,-1.055292,-0.376956,0.109677,-1.305981,0.146543,0.146543
AT1G67550,1.295102,0.300825,0.300825,-1.280979,0.526797,0.300825,0.300825,-1.744221
AT5G26000,1.699805,1.093141,-0.2461,-0.452137,0.108742,-1.219052,0.085849,-1.070248
AT5G25980,1.482635,1.482635,-1.091384,-0.350067,-0.267698,-1.029608,0.144145,-0.370659
AT2G05510,-0.111915,1.416683,-0.504983,-0.90897,1.733321,-0.592332,-0.439472,-0.592332
AT1G04820,1.448977,0.242451,0.860986,0.73117,-0.055363,-1.307706,-0.895349,-1.025166
AT1G01480,-0.353553,2.474874,-0.353553,-0.353553,-0.353553,-0.353553,-0.353553,-0.353553
AT3G28930,1.31185,-0.072881,0.874567,0.906958,0.072881,-0.753099,-1.603372,-0.736903
AT4G20890,1.457391,0.012409,0.630111,0.277139,0.795567,-1.454633,-0.561171,-1.156812
AT2G45820,0.741584,0.907271,0.971408,0.41021,-0.45564,0.292625,-1.668898,-1.19856
AT3G15210,0.9763,0.942268,0.904833,0.435188,0.166333,-0.766151,-1.300458,-1.358313
AT5G47770,1.892536,-0.553032,0.188049,-0.100972,0.269568,0.595644,-1.064378,-1.227415
AT2G28740,1.042757,0.630804,0.518453,0.209488,0.967857,-1.054461,-1.644303,-0.670595
AT2G14850,0.827744,2.064942,-0.055968,-0.150231,-0.939681,-0.656893,-0.303408,-0.786504
AT4G08500,1.680901,0.425173,-0.481135,0.146729,0.741835,-0.071658,-1.540314,-0.901531
AT3G45640,1.967781,0.954513,-0.357107,-0.455619,0.124196,-0.40777,-1.041063,-0.784931
AT5G52350,0.556675,0.556675,-0.236396,0.556675,-0.236396,0.556675,-2.310584,0.556675
AT3G20600,1.82944,0.598354,-0.030286,0.133422,0.081036,-0.672022,-1.654272,-0.285671
AT5G06940,1.487629,1.127655,0.899151,-0.838112,-0.753596,-1.007143,-0.418665,-0.49692
AT1G53840,1.581166,0.7235,1.009388,-0.134167,-0.394978,-0.796226,-0.700929,-1.287754
AT2G41110,0.745839,0.55369,0.740782,0.680104,0.761008,-0.649765,-1.656015,-1.175644
AT5G37770,1.307533,1.269217,-0.493318,-0.054158,0.243527,0.214054,-1.586797,-0.900057
AT2G41100,1.38715,1.273914,0.413853,0.211645,-0.20086,-1.133716,-0.920723,-1.031263
AT5G57560,1.186493,0.726688,-0.285596,0.124308,1.20075,-0.731143,-1.622238,-0.599261
AT1G72260,0.345133,0.844365,0.23306,0.375698,1.39454,-1.335956,-0.418999,-1.43784