1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
YMR198W,-1.974595,-0.862575,-2.479599,-0.246686,0.657236,0.751396,0.394934,0.803454,0.515377,-0.352571,-0.486687,0.234556,1.114916,0.470974,0.234556,1.058323,0.16699
YBL052C,-0.764236,-1.954049,-2.04493,-0.150981,1.222654,0.398425,1.191624,0.908298,0.343676,-0.845451,-1.014772,0.245365,0.931063,0.505001,0.595226,0.245365,0.187721
YIL126W,-2.811836,-0.860826,-0.570838,-0.598745,0.859197,1.723498,0.652489,0.633059,0.804061,-0.227512,-0.488474,0.305975,0.949123,0.218999,-0.128498,-0.104186,-0.355484
YJR137C,-1.782356,-1.441744,-1.244324,0.384405,2.120182,1.218736,0.538896,-0.092887,-0.707972,-0.727984,-0.591598,-0.010911,0.521584,0.198693,0.231797,0.515799,0.869684
YCR035C,-0.014625,-2.16688,-1.185127,-0.362853,1.243735,0.220638,1.596491,0.611171,0.564109,-1.379776,-0.867267,0.321438,0.540419,0.065138,0.528527,-0.739803,1.024663
YDR219C,-1.143448,-1.68023,-2.067667,0.796151,0.537549,1.390288,-0.029494,0.384384,0.5987,-1.370934,-0.544233,0.44933,0.796151,0.873161,0.5987,0.121032,0.29056
YNL176C,-0.778086,-1.526772,-2.207223,0.107332,1.16835,1.058433,0.99533,0.551081,0.395323,-1.560297,-0.195895,0.313826,1.144325,0.263722,0.474347,0.053071,-0.256866
YLR455W,-1.26498,-0.641185,-2.284375,0.650156,1.315617,0.899102,-0.190477,0.686947,-0.885289,-0.930356,-0.300467,0.172599,0.650156,1.145964,1.25496,0.161853,-0.440225
YCRX04W,-1.746779,0.566987,-0.539484,-0.671974,0.190592,0.7847,1.771315,0.873657,0.075955,-1.548249,-1.107605,-0.995167,0.101635,0.290446,0.873657,1.337116,-0.256804
YIL050W,-1.62919,-2.133831,-1.003751,-0.2448,1.254953,1.587172,0.695779,0.23792,0.23792,-1.041592,-0.717244,0.311255,0.452726,0.758748,0.587752,0.359164,0.287018
YIL106W,-1.793078,-1.121338,-1.401359,-1.174537,-0.281188,0.707936,1.35239,1.130083,1.577118,0.337353,0.140195,-0.410075,-0.67173,0.169489,1.073176,0.255035,0.110531
YBL097W,-2.277045,-1.080507,-0.917777,-0.998117,1.41611,1.216416,1.257351,0.728521,-0.02161,-0.207573,-0.473354,-0.02161,0.375013,0.914516,0.531234,-0.762792,0.321225
YCL014W,-1.025532,-1.071272,-1.373942,-0.452386,0.57923,0.953989,1.482558,1.687585,0.953989,-1.60914,-0.696901,-0.696901,0.029668,0.632878,0.505064,-0.326527,0.42764
YJL099W,0.431325,-2.079728,-1.169015,-0.031238,-0.165332,1.676227,1.578453,0.158763,0.29829,-0.14254,-1.626145,-0.557002,-0.053173,1.106367,0.593758,0.239322,-0.258331
YKL048C,-0.784194,-1.793313,-1.320734,0.211624,0.747316,1.105052,0.728322,-0.352747,-0.119697,-1.668345,-1.007747,-0.045703,1.088102,1.105052,1.105052,0.531718,0.470241
YGL255W,-1.66232,-0.6133,-1.120904,-0.498956,-0.12344,0.439759,1.214048,0.685544,0.345048,-0.580167,-1.45577,-1.062155,0.080899,0.696244,1.231912,1.738013,0.685544
YJL137C,-0.477533,-0.718103,-2.762193,0.053558,1.321018,1.547083,0.623504,0.918464,0.053558,-0.524172,-0.768523,-0.619637,0.130768,0.524256,0.719688,0.297753,-0.319487
YBR104W,-2.605143,0.180216,1.19918,-0.374187,-0.928005,-0.78931,0.739596,0.432092,-0.333198,-0.862715,-0.40723,-0.212656,0.363623,0.526075,1.451432,1.305209,0.315021
YCR073C,-2.376789,-1.221888,-0.110892,-0.244928,0.143467,1.95207,2.015992,0.298147,-0.244928,-0.073439,-0.110892,-0.30391,-0.186868,-0.167736,0.331656,0.604852,-0.30391
YDL198C,-1.523156,-1.523156,-1.530655,-0.520613,0.016871,0.093751,0.008187,-0.377594,-0.453319,-0.422758,-0.048845,0.221461,0.551733,1.123639,1.329442,1.808343,1.24667
YDR389W,-0.607025,0.167174,-1.051825,-2.112187,0.355394,1.545402,1.146893,-0.033171,-0.203217,-0.759926,0.048532,-0.777414,-1.148927,1.203066,0.645827,1.31245,0.268952
YIL131C,-1.737245,-1.362413,-1.279717,0.368971,1.598492,1.694366,0.923095,0.473961,0.368971,-0.72702,-1.100317,-0.257993,0.422224,0.639516,0.325213,0.101477,-0.451582
YMR215W,-1.200731,-1.264914,-1.25494,-0.187787,1.149903,1.37072,1.222773,0.175251,-0.851864,-1.004252,-0.588194,-0.645655,0.262097,1.672051,0.821638,0.677719,-0.353813
YIL158W,-2.190775,-2.001672,-1.058034,-0.596168,0.544248,0.879316,1.022456,0.87039,0.638245,0.098757,-0.134319,-0.457411,-0.387382,0.634794,0.442463,0.938974,0.756116
YGL101W,-1.985889,-1.111711,-1.300782,0.146398,0.261157,0.347332,0.975158,0.236075,-0.170057,-1.50341,-0.559723,0.248644,0.794814,1.153806,1.439531,1.098616,-0.069957
YJR110W,-0.795428,-0.906972,-1.687496,0.465087,0.732941,1.73294,0.948293,0.700803,0.049968,-2.221041,-0.074601,-0.364838,0.534454,0.618837,0.81175,-0.272349,-0.272349
YOL012C,-2.28546,-1.929419,-1.306774,-0.041305,0.969969,0.417724,0.486796,0.056202,-0.233963,0.05163,0.02415,0.535432,0.330434,1.033628,1.069248,1.11301,-0.291301
YBL032W,-1.722014,-0.904587,-1.3792,-0.781815,1.742202,0.425895,1.558679,0.887123,-0.089081,-0.408144,-1.115534,-0.330335,0.339986,0.692925,0.940632,0.425895,-0.282627
YBR043C,-1.374102,-0.773287,-0.733609,-0.515649,0.601663,0.086591,1.368838,0.832157,-0.134625,-0.642453,-1.661488,-1.222799,0.065023,0.337107,1.605355,1.249237,0.912041
YCL012W,-1.425556,-1.044398,-2.101545,-0.449451,0.65209,0.806945,1.269959,1.562049,1.158724,0.718096,-0.751751,-0.751751,0.235516,-0.166756,0.235516,0.04455,0.007763
YCL013W,-1.230713,-0.569306,-1.230713,-0.335228,0.375545,1.086334,1.500726,1.873344,1.086334,-1.230713,-0.249699,-0.839531,0.743202,-1.159138,0.12469,-0.168149,0.223016
YCL062W,-1.309947,-0.97293,-1.951965,0.343151,1.19829,0.900812,1.183623,1.270516,0.900812,-0.813111,-1.241599,-0.69875,0.495972,0.236634,0.369189,0.362687,-0.273382
YCL063W,-1.281532,-0.498452,-1.171905,0.005301,1.298361,1.045442,1.216849,1.785294,0.754191,-1.721372,-0.985863,-0.616012,0.568148,-0.248772,-0.090469,0.045241,-0.104451
YDR324C,-2.437536,1.138736,0.004876,-1.007957,-1.13785,0.958493,1.382303,0.378192,0.6365,-0.24435,-0.673169,-0.781329,-0.605952,0.582186,0.3051,0.858551,0.643204
YDR325W,-1.473801,0.37568,-0.435196,-0.002593,0.484713,1.483741,0.826679,-0.378264,-0.234261,-1.581534,-1.550429,-0.885823,0.088194,1.483741,0.529196,1.40767,-0.137714
YGR108W,-2.190423,-0.659416,-1.187863,-1.151619,-0.356549,0.730142,1.234316,0.994126,0.919263,-0.259837,-0.531522,-0.646175,-0.367663,0.623717,1.003855,0.994126,0.851523
YPR119W,-1.914479,-0.866111,-1.367372,-1.032571,0.091961,0.66454,1.323945,1.565871,1.038305,-0.088321,-0.560291,-0.953964,-0.242103,0.15093,0.757007,0.675647,0.757007
YOL069W,-0.682758,-2.81463,-1.495591,-0.12311,-0.092248,0.8229,0.959243,1.027037,0.72637,-0.291991,-0.004559,-0.736211,0.520842,0.520842,0.620516,0.331484,0.711864
YHR023W,-1.311593,-1.82129,-1.434367,-1.406436,-0.241331,0.584202,1.411293,1.223246,0.74176,0.495153,-0.007731,-0.344625,-0.532612,0.473615,0.594411,0.684119,0.892186
YPL242C,-1.590896,-1.091175,-1.493999,-1.176397,0.766148,0.828084,1.369509,1.718223,0.773974,-0.018823,-0.268445,-0.527578,-0.746216,-0.172534,0.240406,0.726829,0.662889
YJR092W,-2.226863,-1.102673,-1.248118,-1.32588,0.727929,0.35784,0.29111,1.368396,1.344409,0.268276,-0.757775,-0.207506,0.350552,0.35784,0.588301,0.78518,0.428982
YLR353W,-1.877214,-1.58187,-1.621911,-0.523451,0.208711,0.574936,0.927807,0.920817,1.229275,0.450467,-0.851485,-0.614581,0.073097,0.170736,0.849743,0.948656,0.716267
YCL037C,-1.795441,-0.231719,-1.050265,-0.877556,1.845984,0.580236,1.467133,1.287571,0.526027,0.751941,-1.050265,-1.011289,-0.199377,0.035746,-0.363488,0.316481,-0.231719
YMR001C,-1.783463,-1.454488,-1.729512,-0.866819,-0.312805,0.499509,1.133167,1.278169,0.921848,-0.181901,-0.312805,-0.439933,0.303436,0.313128,0.766966,0.973439,0.892064
YGL021W,-1.858986,-1.493262,-1.130338,-0.97874,-0.025151,0.65024,1.195377,1.069242,0.770248,-0.238913,-0.822598,-0.595345,-0.097439,0.902895,0.953617,1.184218,0.514935
YOR025W,-1.642794,-1.835057,-1.248938,-1.148588,-0.545252,0.678084,0.961948,0.864872,1.50127,0.050867,-0.023176,-0.657194,0.374207,0.600262,0.629918,0.687533,0.752037
YDR146C,-2.256316,-1.699158,-0.855621,-0.881231,-0.558452,0.330234,0.607742,0.486298,0.529632,0.330234,0.064209,-0.385374,0.011105,1.283231,0.882084,1.43677,0.674611
YLR131C,-1.459791,-2.053518,-1.520084,-0.70037,0.230115,0.496172,0.907525,0.78771,1.045097,0.716987,-0.528294,-0.945105,0.271131,0.902464,0.389736,1.064087,0.396139
YNL053W,-0.933007,-0.701739,-1.589851,-0.684655,0.371602,1.137087,1.541929,1.639313,0.932841,-1.347878,-0.878073,-0.346218,-0.300762,-0.255981,0.273451,1.155828,-0.013885
YPR167C,-1.264265,-0.779727,-0.660664,0.163474,1.347051,1.076244,0.137461,-0.42627,-1.034591,-1.603837,-0.981686,-0.546568,0.026355,0.903892,1.170528,1.296122,1.176483
YML033W,-1.492807,-1.017496,-1.978817,-1.043861,0.174187,0.21123,0.620798,1.460207,0.677561,0.276335,-0.596868,-0.729945,-0.200907,0.453906,0.866446,1.272703,1.047328
YML034W,-1.254823,-1.061844,-2.627262,-0.461866,0.096382,0.641056,1.005778,1.498939,0.866,-0.211286,-0.592183,-0.341346,0.354479,0.498418,0.532471,0.641056,0.416032
YOR315W,-1.676921,-1.521295,-1.118314,-1.146872,-0.491172,0.444117,1.028737,1.176003,0.596549,-0.33621,-0.51467,-0.418345,0.092905,0.385343,0.869271,1.585235,1.045637
YHL028W,-1.41945,-1.874394,-1.60827,-0.698368,-0.166112,0.673278,1.114551,1.262394,0.823786,-0.818034,-0.119209,-0.331066,0.154418,0.324322,0.673278,0.937145,1.07173
YPL127C,-2.031272,-1.513996,1.053473,1.079626,1.110526,0.803839,-0.157815,-0.62925,-1.438031,-0.607548,0.217413,0.93754,0.500938,0.721631,0.306343,0.421113,-0.774531
YLL021W,-2.0635,-0.837624,1.424253,0.944203,1.401937,0.825162,0.483423,-1.0031,-1.089288,-0.338831,0.579744,0.344925,0.750101,0.313284,0.08232,-0.62624,-1.190769
YDR297W,-2.602052,-0.515921,0.82128,1.599439,1.372078,0.844298,0.169965,0.025473,-0.195502,-1.153333,0.736292,0.548958,-0.421325,0.180791,-0.425766,-0.585409,-0.399265
YJR043C,-1.004491,0.185522,1.753888,1.458528,0.611231,0.618163,0.447223,0.120209,-0.385736,-2.189577,0.241454,0.541101,0.469161,-0.067742,-0.496903,-1.579703,-0.722328
YDR113C,-1.302139,-0.480382,0.943413,1.19717,1.611321,1.071851,-0.449852,-0.862454,-1.445036,-1.09804,0.244955,0.943413,0.822663,0.611998,0.041244,-0.765911,-1.084213
YNL126W,-0.137405,-0.057786,0.508318,1.050997,1.108295,1.416741,0.707528,-0.467964,-1.086719,-2.278573,-0.725002,0.034283,1.031575,0.773916,0.137213,-1.161345,-0.854073
YEL061C,-1.188867,-0.67826,0.630939,1.164018,1.36238,1.057044,0.544466,-0.045929,-1.317235,-2.054569,-0.67826,0.091094,1.043269,0.958604,0.219462,-0.493409,-0.614747
YHR172W,-0.625449,0.306261,1.475293,1.512285,0.912707,1.240847,0.365294,-0.853077,-0.950317,-0.805846,-0.187945,-0.012036,0.792905,0.479318,-0.669333,-1.000399,-1.980506
YPR141C,-0.585318,-0.974638,0.99542,1.821346,1.443636,1.347003,0.413757,-0.37614,-1.114018,-1.295497,-0.563375,-0.26055,0.662755,0.479037,0.097614,-1.143132,-0.947902
YLR045C,-2.027861,-1.962424,0.042626,0.464799,1.507353,0.952005,0.659319,-0.046798,-0.59175,-1.395809,-0.06513,0.283424,0.813554,0.76332,0.72489,0.086042,-0.207561
YGR140W,-0.905449,-0.542586,1.612251,1.181727,1.277474,1.329271,0.328077,-0.707508,-1.168024,-1.021769,-0.312076,0.223445,0.724294,0.762246,-0.502813,-0.707508,-1.571052
YBL063W,-1.207228,-1.757846,0.229266,0.773023,1.705291,0.916059,0.427303,-0.47839,-0.400997,-2.037138,-0.202377,0.773023,1.058793,0.596069,0.085506,-0.0216,-0.458755
YDR356W,-1.694444,-1.154592,0.145264,0.754516,1.501007,1.594583,-0.399177,-0.840865,-0.684871,-0.950474,0.468267,1.049841,1.124737,0.66757,-0.082324,-0.684871,-0.814168
YJR006W,-0.401033,-0.514403,1.74922,1.03981,0.480043,0.585858,0.303794,-0.292107,-0.02093,-1.051813,-2.709342,1.054475,0.696118,0.294212,-0.303993,-0.605915,-0.303993
YBL003C,-1.424436,-2.067639,0.477144,0.700783,1.531344,-0.933894,0.095206,-0.522225,-1.352521,-0.198692,0.434696,0.914128,0.186797,0.655192,1.352456,0.449957,-0.298298
YBL002W,-2.369013,-1.493818,0.376942,0.903082,1.21257,-0.47137,-0.300001,-0.45417,-1.103562,-0.506287,0.508927,1.127219,0.785381,0.904766,0.626262,0.54271,-0.289634
YMR190C,-0.042271,-0.976794,-0.229532,0.297304,1.337,1.378831,1.157657,0.415133,0.191972,-2.678708,-0.378221,0.00743,0.576955,0.415133,-0.409718,0.21361,-1.275779
YPL016W,-2.119745,-1.662944,0.320601,0.839608,1.418915,1.323654,0.791354,0.717055,0.335423,-0.977482,-0.120297,-0.803123,0.561024,0.350174,0.019148,-0.926334,-0.067031
YFR037C,-1.609658,-0.118636,1.422095,1.80466,0.439895,0.073398,0.426234,0.073398,-0.348043,-1.609658,-1.006413,0.245333,1.514291,0.044211,-1.094035,0.329525,-0.586597
YER001W,-1.780789,0.31116,1.316637,1.10805,1.217176,0.216602,-0.158568,-0.861809,-1.710678,-1.441452,0.23581,0.784094,0.844182,0.753451,0.02385,-0.154071,-0.703646
YER003C,-1.890055,-0.864297,1.260715,1.489942,1.260715,0.074179,0.173471,-0.31529,-1.240742,-0.700024,0.250434,0.816159,1.096836,0.589863,-0.445875,-0.31529,-1.240742
YDL093W,-0.077674,-1.522133,1.422721,1.837908,1.223823,0.147867,0.230643,-0.205892,-0.243487,-0.438135,0.48224,0.947021,0.31136,-0.602641,-0.645107,-1.054312,-1.814203
YIR017C,-0.968852,-1.817242,-0.250054,1.424125,1.982841,1.620049,-0.277308,-1.009273,-0.852666,-0.968852,-0.021471,0.47746,0.265409,0.138538,0.116507,0.002252,0.138538
YKR001C,-2.079417,-1.574747,-0.326758,0.857687,0.978426,0.671377,0.23692,-1.311715,-0.236057,-1.311715,0.783953,0.796331,1.280086,0.543382,0.20939,0.08385,0.399008
YER118C,-2.228102,-0.613501,0.860425,1.007855,0.482704,0.038975,-0.809553,-0.412789,-0.9219,-1.058292,0.202883,1.207065,1.680811,1.148625,-0.301381,0.080749,-0.364574
YER016W,-0.999431,-0.689914,0.680635,2.51497,0.978428,0.169837,-0.02741,-0.170293,-1.906797,0.329082,0.286292,0.508949,0.169837,0.654735,-0.979337,-0.580131,-0.93945
YKR010C,-0.86297,-0.288084,0.025548,0.865958,2.005387,0.913637,0.968219,-0.587588,-0.878254,-1.274485,-1.635716,-0.878254,0.889918,0.865958,0.726064,-0.37576,-0.479579
YHR061C,-0.15877,-1.166601,0.050197,0.461787,0.883102,1.386196,0.700894,-0.92747,-0.710469,-1.340681,0.195545,0.584394,0.738482,0.883102,0.917918,-0.15877,-2.338857
YEL017W,-0.758765,-0.379873,-0.044624,1.007157,1.639577,0.753658,-1.194441,-0.241106,-0.415621,-0.718589,-1.821151,-0.108661,1.674887,1.219925,-0.882761,0.580047,-0.309659
YLL062C,-1.306956,-0.850794,-1.067789,1.344004,2.119132,1.575882,-0.117546,-1.138824,-0.850794,-0.129217,-0.311926,0.440141,0.30782,-0.428826,-0.496369,0.029352,0.88271
YJL118W,-1.918485,-2.150487,-0.011997,1.244755,1.05713,1.04693,-0.240126,-0.131472,-0.369388,-0.255973,0.497628,0.745626,0.801741,1.087554,-0.131472,-0.320249,-0.951715
YDR179C,-0.146909,0.13621,0.166123,1.519182,1.301651,1.519182,0.777338,0.121147,-0.542301,-2.099932,-1.570161,-0.290314,-0.122272,0.813624,-0.138677,-0.647316,-0.796575
YER018C,-0.873303,-0.749778,0.881739,1.538552,2.279146,0.845824,0.250125,0.1837,-1.002016,-0.630978,-0.969313,-0.000723,0.1837,0.31513,-0.048589,-0.544789,-1.658428
YBR156C,-0.78426,-0.814071,0.233403,0.944228,2.044388,1.378228,0.567887,0.607443,-0.445614,-0.262655,-0.472583,0.320197,0.742455,-0.339872,-0.418849,-1.899139,-1.401186
YBR184W,1.78675,0.942033,-0.340357,1.030648,1.292823,0.621346,0.167313,0.299492,-0.252777,-1.833715,-1.243209,0.167313,0.621346,-1.103707,-0.432211,-0.479879,-1.243209
YLR228C,0.718861,-0.012312,0.604251,1.184879,1.688395,0.51522,-0.703556,0.718861,0.296158,0.36045,-2.322756,-0.1229,0.263462,-1.31494,-1.37226,0.023624,-0.525436
YDR252W,1.305506,-0.177767,-1.031473,0.273064,1.375006,0.681726,-0.320239,0.611484,-0.154679,-2.90851,-0.910337,0.002126,0.370993,0.502901,-0.271987,0.716238,-0.06405
YBR007C,-1.147518,-0.515933,1.572982,0.897736,1.710754,1.306887,0.47119,0.061345,-0.722245,-1.292156,-0.097526,0.47119,0.638584,-0.85157,-0.397253,-0.638393,-1.468074
YEL018W,-0.773109,0.366611,0.671281,0.978467,1.553485,0.744144,-0.474365,0.178292,-1.057442,-1.322802,-1.820097,-0.738873,0.572112,1.370283,-1.094364,0.695711,0.150665
YER019W,-0.304685,-0.495887,1.808012,2.165337,1.035453,0.080087,0.214385,-0.287822,-1.26981,-0.22105,-0.442714,-0.531767,0.917014,0.329666,-0.495887,-1.118039,-1.382292
YFR038W,-1.106563,0.619401,1.642992,1.278459,0.670961,-0.200147,0.513782,0.175637,0.175637,-2.107549,0.721777,0.917711,0.054948,-0.698985,-0.26708,-1.106563,-1.28442
YLL061W,-0.921092,-0.706218,-0.065383,1.75804,2.444987,1.181226,-0.330155,-0.893069,-0.351896,-0.330155,-1.09705,-0.41839,0.118817,-0.921092,-0.486933,0.353517,0.664846
YKL049C,-1.932679,-2.011864,0.469989,0.886191,1.455884,0.711944,0.129013,-0.233438,-0.913671,-0.770418,-0.316343,0.248951,0.654835,1.126826,0.924744,0.157048,-0.587012
YOR188W,-0.787164,0.215632,0.752371,0.952253,1.21507,1.821625,1.138793,0.55302,-0.761626,-0.918516,-1.05633,0.105929,0.068363,-0.067157,-0.168161,-1.231206,-1.832895
YJR076C,-1.026172,-1.553155,-0.338639,0.451395,1.060779,1.394396,0.779315,1.06439,-0.474477,-1.581037,-0.292704,-0.749361,-0.118795,1.414375,1.096845,-0.262335,-0.86482
YJL092W,-1.643867,-1.316127,0.089515,1.063222,1.512055,1.868248,0.697679,0.049123,-0.683897,-0.69458,-0.69458,-0.084262,0.207174,1.068809,0.230095,-0.620774,-1.047831
YCR084C,-1.730447,0.170801,-0.098139,1.03347,1.250029,0.901677,1.199893,1.05943,-0.719206,-0.682636,-1.002121,-0.868135,0.484522,0.807372,0.570717,-0.887057,-1.49017
YJR112W,-1.979179,-1.770163,0.021224,1.186952,1.100483,0.61191,0.153719,-0.735229,-0.401427,-0.698187,-0.820394,0.070736,0.623473,1.550569,0.9244,0.529579,-0.368467
YLL046C,1.58578,1.044795,0.509423,0.26838,0.744516,1.1416,0.527009,0.022106,-0.704382,-1.118501,-2.48734,-1.298989,-0.180767,0.26838,0.127813,-0.021511,-0.428312
YDR464W,-0.174242,1.361753,-1.003913,0.286305,1.498526,1.637937,0.025025,0.255818,-0.360122,-1.509611,-1.338914,-0.669071,-0.336388,1.291588,0.121082,0.162997,-1.24877
YKL068W,-0.803113,0.279456,-0.279148,0.273422,0.530822,0.988795,0.922994,2.236345,-0.121576,-1.164695,0.386693,-0.992268,-0.356864,0.42179,0.729256,-1.448408,-1.603497
YDR451C,-2.018799,-0.413684,-0.613369,-0.128802,1.137073,1.686721,0.152891,-0.219242,-0.62961,-1.575538,-0.679155,-0.15422,0.693812,1.525525,0.942631,0.300233,-0.006466
YCR085W,-1.152745,-0.042373,-0.908701,0.329421,1.570149,1.718543,1.252897,0.648336,-0.40745,-1.227616,-1.044898,-0.908701,-0.279049,0.898198,0.529638,0.251967,-1.227616
YMR003W,-1.085541,-1.248837,-0.747015,0.978891,1.424644,1.444599,0.838328,-0.023715,-0.787981,-1.628348,-1.006798,-0.179147,0.322049,1.289832,0.775725,0.109394,-0.476081
YNR009W,-2.822919,-1.464069,-0.33416,0.422358,0.998002,1.006892,0.493894,-0.125156,-0.492643,-0.707269,-0.033086,0.676609,0.793493,0.971066,0.307564,0.608174,-0.298749
YOR073W,-1.211415,-1.994687,-0.793122,0.744806,1.210325,1.226615,0.554894,0.457245,-0.012193,-1.454946,-1.227945,0.161583,0.850009,1.098598,0.540159,-0.07006,-0.079868
YLL047W,1.671725,1.756696,0.496125,0.078359,0.174934,1.226185,0.943577,-0.393973,-0.640018,-1.088293,-1.344428,-1.665591,-0.772148,-0.021853,0.340389,-0.147319,-0.614367
YDR366C,-0.345446,1.370219,0.497212,0.044578,-0.286152,1.103558,1.401754,-0.985134,-0.171341,-0.80156,-1.773893,-1.530702,-0.663172,1.050496,0.978065,0.708086,-0.596568
YCR086W,-0.724866,0.072136,0.55425,0.623827,0.67849,1.69304,0.582253,-0.093471,-0.807359,-0.624427,-2.021031,-1.422875,0.321615,1.099224,0.623827,0.745656,-1.300289
YIL169C,-1.312828,-2.905469,0.070327,1.161503,1.324601,0.811674,0.821161,0.200475,0.250405,-0.442471,-0.494204,-0.408663,0.335066,0.381991,0.570697,-0.053939,-0.310327
YKL052C,-1.374828,-1.26864,0.016148,1.399965,1.779501,1.379819,0.963922,0.279572,0.125999,-1.749736,-0.595012,-0.292096,0.116176,0.362918,-0.045321,-0.236854,-0.861533
YKL053W,-1.885825,-1.123175,0.637868,2.0738,1.585206,0.351158,0.081025,-1.2524,-0.104501,-0.684182,-0.83069,-0.271863,0.540696,0.637868,0.02005,0.496828,-0.271863
YKL069W,-0.5232,0.642802,-0.137814,0.990887,1.72926,1.154587,0.333845,0.591669,-0.689974,-1.144354,-1.65456,-0.72013,-0.120327,0.990887,0.59898,-0.298648,-1.743908
YPL116W,-0.771912,-1.564449,-0.263773,0.713842,1.63797,1.783717,0.425193,-0.044356,-0.746074,0.152697,-1.168568,-0.784923,-0.366938,0.670188,0.330159,1.238725,-1.241498
YPL264C,-0.32511,-1.656467,-0.594921,1.005426,0.971321,1.202674,-0.430264,-0.173641,-0.594921,-1.73635,-1.355769,-0.223331,0.530386,0.936838,0.901976,1.388311,0.153843
YBR200W,0.248353,0.659232,-0.905697,-1.351348,-1.233742,-0.721166,0.248353,1.786728,1.345847,1.04008,0.761483,-0.198374,-0.51648,-1.711271,-0.310287,-0.011843,0.870134
YBR202W,-1.466158,0.151473,-0.630381,-1.295535,-1.449987,-1.020605,0.256984,1.238766,1.189067,1.380362,0.709651,-0.265258,-0.549395,-0.661705,0.295051,1.20835,0.90932
YPR019W,-0.771937,-1.07699,0.21389,-0.808321,-0.648,-0.305384,-0.244523,1.176132,1.310768,1.987458,1.025216,-1.285487,-0.845195,-0.958748,0.01451,-0.041059,1.257673
YBL023C,-1.801941,0.15669,0.797249,-0.795925,-1.535414,-0.592412,0.295738,1.526159,1.739695,0.72764,0.582095,-0.048586,-0.272942,-1.361561,-0.272942,0.244534,0.611924
YEL032W,-0.340512,0.949942,-0.260864,-0.569019,-0.929428,-1.099123,0.320152,1.931951,1.20838,1.546576,0.183395,-0.677838,-0.677838,-1.174386,-1.409923,0.41944,0.579097
YPL058C,-0.392986,-2.103002,-1.753539,-1.268828,-1.056019,-0.376312,0.203222,0.939201,1.218985,0.76577,0.611661,0.177928,0.622144,0.344305,0.618657,0.458,0.990813
YGR035C,-1.103219,-1.793659,-2.008284,-1.036689,-0.186747,0.065953,0.608124,1.198787,1.561542,0.976192,0.358116,-0.17876,-0.194768,0.002565,0.465776,0.582637,0.682432
YHL026C,0.161395,0.484794,-0.521319,-1.488096,-0.553859,-0.586901,0.161395,1.118102,2.111523,1.301882,0.207508,-0.521319,-1.880853,-0.796864,-0.249257,0.340057,0.711813
YMR254C,-0.170725,-0.858552,-1.837346,-1.0508,-0.569597,-1.411147,0.431966,0.852274,2.15621,1.050739,0.209165,-0.312456,-0.411946,0.323219,0.089268,0.431966,1.077763
