cell cycle(GO:0007049);cell cycle process(GO:0022402);mitotic cell cycle(GO:0000278);cell division(GO:0051301);DNA metabolic process(GO:0006259)
YMR198W;TRUE;TRUE;TRUE;FALSE;FALSE
YBL052C;FALSE;FALSE;FALSE;FALSE;FALSE
YIL126W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR137C;FALSE;FALSE;FALSE;FALSE;FALSE
YCR035C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR219C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL176C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR455W;FALSE;FALSE;FALSE;FALSE;FALSE
YCRX04W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL050W;TRUE;FALSE;FALSE;FALSE;FALSE
YIL106W;TRUE;TRUE;TRUE;TRUE;FALSE
YBL097W;TRUE;TRUE;TRUE;TRUE;TRUE
YCL014W;TRUE;TRUE;FALSE;TRUE;FALSE
YJL099W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL048C;TRUE;TRUE;FALSE;TRUE;FALSE
YGL255W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL137C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR104W;FALSE;FALSE;FALSE;FALSE;FALSE
YCR073C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL198C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR389W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL131C;TRUE;TRUE;TRUE;FALSE;TRUE
YMR215W;FALSE;FALSE;FALSE;FALSE;FALSE
YIL158W;TRUE;FALSE;FALSE;FALSE;FALSE
YGL101W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR110W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL012C;FALSE;FALSE;FALSE;FALSE;TRUE
YBL032W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR043C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL012W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL013W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL062W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL063W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR324C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR325W;TRUE;TRUE;TRUE;TRUE;TRUE
YGR108W;TRUE;TRUE;TRUE;TRUE;FALSE
YPR119W;TRUE;TRUE;TRUE;TRUE;FALSE
YOL069W;TRUE;TRUE;TRUE;TRUE;FALSE
YHR023W;TRUE;TRUE;FALSE;TRUE;FALSE
YPL242C;FALSE;FALSE;FALSE;FALSE;FALSE
YJR092W;TRUE;TRUE;FALSE;TRUE;FALSE
YLR353W;TRUE;TRUE;FALSE;TRUE;FALSE
YCL037C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR001C;TRUE;TRUE;TRUE;TRUE;TRUE
YGL021W;TRUE;TRUE;TRUE;FALSE;FALSE
YOR025W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR146C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR131C;TRUE;TRUE;TRUE;TRUE;FALSE
YNL053W;TRUE;FALSE;FALSE;FALSE;FALSE
YPR167C;FALSE;FALSE;FALSE;FALSE;FALSE
YML033W;FALSE;FALSE;FALSE;FALSE;FALSE
YML034W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR315W;FALSE;FALSE;FALSE;FALSE;FALSE
YHL028W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL127C;FALSE;FALSE;FALSE;FALSE;TRUE
YLL021W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR297W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR043C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR113C;FALSE;FALSE;FALSE;FALSE;TRUE
YNL126W;FALSE;FALSE;FALSE;FALSE;FALSE
YEL061C;TRUE;TRUE;TRUE;TRUE;FALSE
YHR172W;FALSE;FALSE;FALSE;FALSE;FALSE
YPR141C;TRUE;TRUE;TRUE;TRUE;FALSE
YLR045C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR140W;TRUE;TRUE;TRUE;FALSE;FALSE
YBL063W;TRUE;TRUE;TRUE;TRUE;FALSE
YDR356W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR006W;FALSE;FALSE;FALSE;FALSE;TRUE
YBL003C;FALSE;FALSE;FALSE;FALSE;TRUE
YBL002W;FALSE;FALSE;FALSE;FALSE;TRUE
YMR190C;FALSE;FALSE;FALSE;FALSE;TRUE
YPL016W;FALSE;FALSE;FALSE;FALSE;FALSE
YFR037C;FALSE;FALSE;FALSE;FALSE;FALSE
YER001W;FALSE;FALSE;FALSE;FALSE;FALSE
YER003C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL093W;FALSE;FALSE;FALSE;FALSE;FALSE
YIR017C;FALSE;FALSE;FALSE;FALSE;FALSE
YKR001C;TRUE;TRUE;FALSE;TRUE;FALSE
YER118C;FALSE;FALSE;FALSE;FALSE;FALSE
YER016W;TRUE;TRUE;TRUE;TRUE;FALSE
YKR010C;FALSE;FALSE;FALSE;FALSE;FALSE
YHR061C;TRUE;TRUE;TRUE;TRUE;FALSE
YEL017W;FALSE;FALSE;FALSE;FALSE;FALSE
YLL062C;FALSE;FALSE;FALSE;FALSE;FALSE
YJL118W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR179C;FALSE;FALSE;FALSE;FALSE;FALSE
YER018C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR156C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR184W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR228C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR252W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR007C;FALSE;FALSE;FALSE;FALSE;FALSE
YEL018W;FALSE;FALSE;FALSE;FALSE;TRUE
YER019W;FALSE;FALSE;FALSE;FALSE;FALSE
YFR038W;FALSE;FALSE;FALSE;FALSE;FALSE
YLL061W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL049C;TRUE;TRUE;TRUE;FALSE;TRUE
YOR188W;FALSE;FALSE;FALSE;FALSE;FALSE
YJR076C;TRUE;FALSE;FALSE;TRUE;FALSE
YJL092W;FALSE;FALSE;FALSE;FALSE;FALSE
YCR084C;FALSE;FALSE;FALSE;FALSE;FALSE
YJR112W;TRUE;TRUE;TRUE;TRUE;FALSE
YLL046C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR464W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL068W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR451C;TRUE;TRUE;TRUE;FALSE;FALSE
YCR085W;FALSE;FALSE;FALSE;FALSE;FALSE
YMR003W;FALSE;FALSE;FALSE;FALSE;FALSE
YNR009W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR073W;TRUE;TRUE;FALSE;FALSE;FALSE
YLL047W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR366C;FALSE;FALSE;FALSE;FALSE;FALSE
YCR086W;TRUE;TRUE;TRUE;FALSE;TRUE
YIL169C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL052C;TRUE;TRUE;TRUE;TRUE;FALSE
YKL053W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL069W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL116W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL264C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR200W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR202W;TRUE;TRUE;TRUE;FALSE;TRUE
YPR019W;TRUE;TRUE;TRUE;FALSE;TRUE
YBL023C;TRUE;TRUE;TRUE;FALSE;TRUE
YEL032W;TRUE;TRUE;TRUE;FALSE;TRUE
YPL058C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR035C;FALSE;FALSE;FALSE;FALSE;FALSE
YHL026C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR254C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR031C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR254C;TRUE;TRUE;TRUE;TRUE;FALSE
YOR273C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR015W;FALSE;FALSE;FALSE;FALSE;TRUE
YBR038W;TRUE;TRUE;FALSE;TRUE;FALSE
YLR014C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR274W;FALSE;FALSE;FALSE;FALSE;FALSE
YGL116W;TRUE;TRUE;TRUE;TRUE;FALSE
YGR092W;TRUE;FALSE;FALSE;FALSE;FALSE
YBR138C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR058C;TRUE;TRUE;TRUE;TRUE;FALSE
YCR042C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR229W;TRUE;TRUE;FALSE;FALSE;FALSE
YKL130C;FALSE;FALSE;FALSE;FALSE;FALSE
YIL162W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL138W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL048C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR143W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL129C;TRUE;TRUE;FALSE;TRUE;FALSE
YIL167W;FALSE;FALSE;FALSE;FALSE;FALSE
YHR152W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL079C;FALSE;FALSE;FALSE;FALSE;FALSE
YAR018C;FALSE;FALSE;FALSE;FALSE;FALSE
YAL022C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR279C;FALSE;FALSE;FALSE;FALSE;FALSE
YGL201C;TRUE;TRUE;TRUE;FALSE;TRUE
YNL057W;FALSE;FALSE;FALSE;FALSE;FALSE
YML119W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL137W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL186C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL038C;FALSE;FALSE;FALSE;FALSE;FALSE
YKR021W;FALSE;FALSE;FALSE;FALSE;FALSE
YPR157W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL051W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL014W;FALSE;FALSE;FALSE;FALSE;FALSE
YGR230W;TRUE;TRUE;FALSE;FALSE;FALSE
YLR190W;TRUE;FALSE;FALSE;TRUE;FALSE
YMR032W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL070C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR297W;FALSE;FALSE;FALSE;FALSE;FALSE
YHR151C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL058C;FALSE;FALSE;FALSE;FALSE;FALSE
YER111C;FALSE;FALSE;FALSE;FALSE;FALSE
YML109W;TRUE;TRUE;TRUE;TRUE;FALSE
YNR016C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR067C;FALSE;FALSE;FALSE;FALSE;FALSE
YGL055W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR050C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR109C;TRUE;TRUE;TRUE;TRUE;TRUE
YPR120C;TRUE;TRUE;TRUE;TRUE;TRUE
YDL127W;TRUE;FALSE;FALSE;FALSE;FALSE
YNL289W;TRUE;FALSE;FALSE;FALSE;FALSE
YPL256C;TRUE;TRUE;FALSE;TRUE;FALSE
YMR199W;TRUE;FALSE;FALSE;TRUE;FALSE
YJL187C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL003W;TRUE;TRUE;TRUE;TRUE;TRUE
YMR076C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL042W;FALSE;FALSE;FALSE;FALSE;FALSE
YFL008W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL241C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR078C;TRUE;TRUE;TRUE;FALSE;TRUE
YLR212C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL225C;TRUE;TRUE;TRUE;TRUE;FALSE
YPL209C;FALSE;FALSE;FALSE;FALSE;FALSE
YJL074C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL233W;TRUE;TRUE;FALSE;TRUE;FALSE
YLR313C;FALSE;FALSE;FALSE;FALSE;FALSE
YGR041W;TRUE;TRUE;FALSE;TRUE;FALSE
YGR152C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR507C;FALSE;FALSE;FALSE;TRUE;FALSE
YIL159W;FALSE;FALSE;FALSE;FALSE;FALSE
YGL027C;FALSE;FALSE;FALSE;FALSE;FALSE
YML102W;FALSE;FALSE;FALSE;FALSE;TRUE
YPR018W;FALSE;FALSE;FALSE;FALSE;FALSE
YBL035C;FALSE;FALSE;FALSE;FALSE;TRUE
YNL102W;FALSE;FALSE;FALSE;FALSE;TRUE
YBR278W;FALSE;FALSE;FALSE;FALSE;TRUE
YPR175W;TRUE;FALSE;FALSE;FALSE;TRUE
YNL262W;FALSE;FALSE;FALSE;FALSE;TRUE
YBR088C;FALSE;FALSE;FALSE;FALSE;TRUE
YLR103C;TRUE;TRUE;TRUE;FALSE;TRUE
YAR007C;FALSE;FALSE;FALSE;FALSE;TRUE
YNL312W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL173C;FALSE;FALSE;FALSE;FALSE;FALSE
YER070W;FALSE;FALSE;FALSE;FALSE;TRUE
YOR074C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL164C;TRUE;FALSE;TRUE;TRUE;TRUE
YKL045W;FALSE;FALSE;FALSE;FALSE;TRUE
YBR252W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR032W;FALSE;FALSE;FALSE;FALSE;FALSE
YML060W;FALSE;FALSE;FALSE;FALSE;TRUE
YDR097C;TRUE;TRUE;FALSE;FALSE;TRUE
YNL082W;FALSE;FALSE;FALSE;FALSE;TRUE
YOL090W;TRUE;TRUE;FALSE;FALSE;TRUE
YLR383W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL113C;FALSE;FALSE;FALSE;FALSE;TRUE
YLR234W;FALSE;FALSE;FALSE;FALSE;TRUE
YPL153C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL101C;TRUE;TRUE;FALSE;FALSE;TRUE
YML021C;FALSE;FALSE;FALSE;FALSE;TRUE
YML061C;FALSE;FALSE;FALSE;FALSE;FALSE
YMR179W;FALSE;FALSE;FALSE;FALSE;FALSE
YML027W;TRUE;TRUE;TRUE;FALSE;FALSE
YDL227C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR382C;FALSE;FALSE;FALSE;FALSE;FALSE
YJL196C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL165C;FALSE;FALSE;FALSE;FALSE;FALSE
YLL002W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL124W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL101W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR457C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR070C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR233C;FALSE;FALSE;FALSE;FALSE;TRUE
YPL057C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR073W;FALSE;FALSE;FALSE;FALSE;FALSE
YGL200C;FALSE;FALSE;FALSE;FALSE;FALSE
YHR153C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL272C;FALSE;FALSE;FALSE;FALSE;FALSE
YKR077W;TRUE;TRUE;TRUE;FALSE;FALSE
YDL105W;FALSE;FALSE;FALSE;FALSE;TRUE
YPL267W;TRUE;TRUE;TRUE;TRUE;FALSE
YDL156W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL017W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR071W;FALSE;FALSE;FALSE;FALSE;FALSE
YLL022C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR236C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL022C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL024W;TRUE;FALSE;FALSE;TRUE;FALSE
YLR121C;FALSE;FALSE;FALSE;FALSE;FALSE
YHR154W;FALSE;FALSE;FALSE;FALSE;FALSE
YHR110W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL010W;FALSE;FALSE;FALSE;FALSE;FALSE
YPR174C;FALSE;FALSE;FALSE;FALSE;FALSE
YJL181W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR183C;FALSE;FALSE;FALSE;FALSE;FALSE
YOL007C;FALSE;FALSE;FALSE;FALSE;FALSE
YIL026C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL108W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR326W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR381W;TRUE;TRUE;TRUE;TRUE;TRUE
YNL273W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL018W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR089W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR349W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL061C;TRUE;TRUE;TRUE;FALSE;TRUE
YDR309C;TRUE;TRUE;TRUE;TRUE;FALSE
YKR013W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL018C;FALSE;FALSE;FALSE;FALSE;FALSE
YKR083C;TRUE;TRUE;TRUE;TRUE;FALSE
YDR383C;TRUE;TRUE;TRUE;TRUE;FALSE
YDR013W;FALSE;FALSE;FALSE;FALSE;FALSE
YGR238C;TRUE;TRUE;TRUE;FALSE;FALSE
YNL309W;FALSE;FALSE;FALSE;FALSE;FALSE
YPL208W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR376C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL300W;FALSE;FALSE;FALSE;FALSE;FALSE
YAR003W;FALSE;FALSE;FALSE;FALSE;FALSE
YCL060C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL103C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL303W;FALSE;FALSE;FALSE;FALSE;FALSE
YNL310C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR144C;TRUE;TRUE;TRUE;FALSE;TRUE
YDR488C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR026W;TRUE;TRUE;TRUE;FALSE;FALSE
YIL140W;TRUE;TRUE;FALSE;TRUE;FALSE
YKL067W;FALSE;FALSE;FALSE;FALSE;TRUE
YJL115W;FALSE;FALSE;FALSE;FALSE;TRUE
YDL197C;FALSE;FALSE;FALSE;FALSE;FALSE
YCR065W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR275C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL127W;FALSE;FALSE;FALSE;FALSE;FALSE
YAR008W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL095W;FALSE;FALSE;FALSE;FALSE;FALSE
YOL019W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR151C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR284W;FALSE;FALSE;FALSE;FALSE;FALSE
YMR048W;TRUE;TRUE;TRUE;FALSE;TRUE
YJR155W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR126C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL304W;FALSE;FALSE;FALSE;FALSE;FALSE
YGR189C;FALSE;FALSE;FALSE;FALSE;FALSE
YAL034W-A;TRUE;TRUE;TRUE;TRUE;FALSE
YBR276C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL096C;FALSE;FALSE;FALSE;FALSE;FALSE
YFR026C;FALSE;FALSE;FALSE;FALSE;FALSE
YFR027W;TRUE;TRUE;TRUE;FALSE;TRUE
YNL072W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL179W;TRUE;FALSE;FALSE;FALSE;FALSE
YLR079W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL194W;TRUE;TRUE;TRUE;TRUE;TRUE
YLR274W;TRUE;TRUE;TRUE;FALSE;TRUE
YGR044C;FALSE;FALSE;FALSE;FALSE;FALSE
YJL157C;TRUE;TRUE;FALSE;TRUE;FALSE
YKL185W;TRUE;TRUE;TRUE;FALSE;TRUE
YHR005C;FALSE;FALSE;FALSE;FALSE;FALSE
YNR001C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL150W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR395C;FALSE;FALSE;FALSE;FALSE;FALSE
YOR065W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL181W;FALSE;FALSE;FALSE;FALSE;FALSE
YGR183C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR258W;FALSE;FALSE;FALSE;FALSE;FALSE
YML110C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR273C;FALSE;FALSE;FALSE;FALSE;FALSE
YCR005C;FALSE;FALSE;FALSE;FALSE;FALSE
YCL040W;FALSE;FALSE;FALSE;FALSE;FALSE
YMR256C;FALSE;FALSE;FALSE;FALSE;FALSE
YIL009W;FALSE;FALSE;FALSE;FALSE;FALSE
YLL040C;TRUE;TRUE;FALSE;FALSE;FALSE
YGR281W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR083W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR054W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL116C;FALSE;FALSE;FALSE;FALSE;FALSE
YPR002W;FALSE;FALSE;FALSE;FALSE;FALSE
YNR067C;TRUE;TRUE;FALSE;TRUE;FALSE
YBR158W;TRUE;TRUE;TRUE;TRUE;FALSE
YDL117W;TRUE;TRUE;FALSE;TRUE;FALSE
YMR007W;FALSE;FALSE;FALSE;FALSE;FALSE
YNL046W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR264W;TRUE;FALSE;FALSE;FALSE;FALSE
YPL066W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR052C;FALSE;FALSE;FALSE;FALSE;FALSE
YPL158C;FALSE;FALSE;FALSE;FALSE;FALSE
YHR022C;FALSE;FALSE;FALSE;FALSE;FALSE
YPL004C;FALSE;FALSE;FALSE;FALSE;FALSE
YBR157C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL078W;TRUE;TRUE;TRUE;FALSE;FALSE
YOR066W;TRUE;TRUE;TRUE;FALSE;FALSE
YBR053C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR511W;FALSE;FALSE;FALSE;FALSE;FALSE
YDR033W;FALSE;FALSE;FALSE;FALSE;FALSE
YKL163W;FALSE;FALSE;FALSE;FALSE;FALSE
YBR231C;FALSE;FALSE;FALSE;FALSE;FALSE
YDR368W;FALSE;FALSE;FALSE;FALSE;FALSE
YLR049C;FALSE;FALSE;FALSE;FALSE;FALSE
YLR286C;TRUE;TRUE;FALSE;TRUE;FALSE
YHR038W;FALSE;FALSE;FALSE;FALSE;FALSE
YGL089C;FALSE;FALSE;FALSE;FALSE;FALSE
YPL187W;FALSE;FALSE;FALSE;FALSE;FALSE
YNL173C;FALSE;FALSE;FALSE;FALSE;FALSE
YJR148W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR317W;FALSE;FALSE;FALSE;FALSE;FALSE
YOR316C;FALSE;FALSE;FALSE;FALSE;FALSE
YPL014W;FALSE;FALSE;FALSE;FALSE;FALSE
YJL078C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL161C;FALSE;FALSE;FALSE;FALSE;FALSE
YHR113W;FALSE;FALSE;FALSE;FALSE;FALSE
YDL119C;FALSE;FALSE;FALSE;FALSE;FALSE
YDL124W;FALSE;FALSE;FALSE;FALSE;FALSE
YHR039C;TRUE;TRUE;FALSE;FALSE;TRUE
YDR493W;FALSE;FALSE;FALSE;FALSE;FALSE
YGL028C;FALSE;FALSE;FALSE;FALSE;FALSE
YNL073W;FALSE;FALSE;FALSE;FALSE;FALSE
YER017C;FALSE;FALSE;FALSE;FALSE;FALSE
YKL066W;FALSE;FALSE;FALSE;FALSE;FALSE
YAL040C;TRUE;TRUE;TRUE;TRUE;FALSE